Wort1,Wort2
Hund,Wolf
Katze,Fuchs
Löwe,Tiger
Pferd,Esel
Schaf,Ziege
Hai,Delfin
Wal,Robbe
Adler,Falke
Krähe,Rabe
Schlange,Echse
Apfel,Birne
Banane,Plantain
Orange,Mandarine
Pfirsich,Nektarine
Zitrone,Limette
Karotte,Pastinake
Kartoffel,Rübe
Tomate,Paprika
Gurke,Zucchini
Zwiebel,Knoblauch
Stuhl,Hocker
Sofa,Sessel
Tisch,Schreibtisch
Bett,Couch
Lampe,Laterne
Spiegel,Fenster
Tür,Tor
Dach,Decke
Boden,Erde
Wand,Zaun
Auto,LKW
Bus,Straßenbahn
Zug,U-Bahn
Fahrrad,Roller
Flugzeug,Hubschrauber
Boot,Schiff
Rakete,Missile
Taxi,Mietwagen
Autobahn,Landstraße
Brücke,Tunnel
Lehrer,Professor
Arzt,Pfleger
Anwalt,Richter
Koch,Bäcker
Künstler,Maler
Schauspieler,Regisseur
Sänger,Musiker
Pilot,Kapitän
Soldat,Wächter
Bauer,Gärtner
Handy,Tablet
Laptop,Computer
Tastatur,Maus
Kamera,Camcorder
Fernseher,Monitor
Radio,Podcast
Buch,Magazin
Zeitung,Journal
Stift,Bleistift
Bürste,Kamm
Berg,Hügel
Fluss,Bach
See,Teich
Ozean,Meer
Wald,Dschungel
Wüste,Canyon
Insel,Halbinsel
Strand,Küste
Tal,Steppe
Vulkan,Berg
Hemd,Bluse
Hose,Jeans
Jacke,Mantel
Schuhe,Stiefel
Hut,Kappe
Handschuhe,Fäustlinge
Ring,Armband
Halskette,Kette
Uhr,Wecker
Brille,Schutzbrille
Kaffee,Tee
Saft,Smoothie
Milch,Sahne
Brot,Toast
Reis,Nudeln
Suppe,Eintopf
Kuchen,Torte
Keks,Biskuit
Burger,Brötchen
Pizza,Flammkuchen
Krankenhaus,Klinik
Schule,Universität
Gefängnis,Haftanstalt
Kirche,Dom
Schloss,Palast
Hotel,Pension
Fabrik,Lagerhalle
Büro,Atelier
Markt,Einkaufszentrum
Bibliothek,Buchhandlung
Messer,Dolch
Gabel,Löffel
Teller,Schüssel
Tasse,Becher
Glas,Krug
Topf,Kochtopf
Pfanne,Wok
Kühlschrank,Gefrierschrank
Herd,Ofen
Spüle,Waschbecken
Computer,Server
Programm,App
Spiel,Simulation
Film,Serie
Bild,Foto
Gemälde,Zeichnung
Lied,Melodie
Ton,Geräusch
Gerät,Maschine
Motor,Antrieb
Stadt,Dorf
Land,Region
Staat,Nation
Kontinent,Erdteil
Planet,Stern
Mond,Satellit
Sonne,Gestirn
Wolke,Nebel
Regen,Schnee
Sturm,Orkan
Freund,Kumpel
Kollege,Mitarbeiter
Chef,Manager
Kunde,Klient
Gast,Besucher
Nachbar,Mitbewohner
Kind,Jugendlicher
Mann,Herr
Frau,Dame
Baby,Kleinkind
Spielzeug,Puppe
Ball,Kugel
Karte,Plan
Ticket,Fahrschein
Schlüssel,Code
Passwort,PIN
Brief,Nachricht
Paket,Päckchen
Koffer,Tasche
Rucksack,Beutel
Park,Garten
Blume,Pflanze
Baum,Tanne
Gras,Kraut
Stein,Felsen
Sand,Kies
Feuer,Flamme
Wasser,Flüssigkeit
Luft,Wind
Erde,Boden
Zahn,Backenzahn
Auge,Blick
Ohr,Gehör
Hand,Faust
Fuß,Bein
Kopf,Gesicht
Herz,Organ
Blut,Ader
Haut,Fell
Knochen,Skelett
Spieler,Teilnehmer
Mannschaft,Team
Trainer,Coach
Schiedsrichter,Referee
Stadion,Arena
Ball,Spielgerät
Tor,Netz
Punkt,Zähler
Medaille,Trophäe
Wettkampf,Turnier
Batterie,Akku
Stecker,Kabel
Schalter,Knopf
Fenster,Glas
Vorhang,Gardine
Teppich,Läufer
Kissen,Polster
Decke,Bettdecke
Schrank,Kommode
Regal,Board
